

,,Filter Size,Logged,Missed
,,0x187,45051,56,45107
,,0x188,45051,60,45111
,,0x189,45051,59,45110
,,0x18A,45051,60,45111
,,0x18B,45051,60,45111
,,0x18C,45051,60,45111
,,0x18D,45051,58,45109
,,0x18E,45051,60,45111
,,0x207,45051,56,45107
,,0x209,45051,59,45110
,,0x20B,45051,60,45111
,,0x20D,45051,58,45109
,,0x287,45051,56,45107
,,0x289,45051,59,45110
,,0x28B,45051,60,45111
,,0x28D,45051,58,45109
,,0x307,45051,56,45107
,,0x309,45051,59,45110
,,0x30B,45051,60,45111
,,0x30D,45051,58,45109
,,0x385,45050,61,45111
,,0x387,45051,56,45107
,,0x389,45051,59,45110
,,0x38B,45051,60,45111
,,0x38D,45051,58,45109
,,0x407,45051,56,45107
,,0x409,45051,59,45110
,,0x40B,45051,60,45111
,,0x40D,45051,58,45109
,,0x707,9010,8,9018
,,0x709,9010,8,9018
,,0x70B,9010,8,9018
,,0x70D,9010,8,9018

