

,,Filter Size,Logged,Missed
,,0x385,2199,42912,45111
,,0x18B,2199,42912,45111
,,0x188,2199,42912,45111
,,0x18D,2199,42910,45109
,,0x18A,2198,42913,45111
,,0x189,2198,42912,45110
,,0x18C,2198,42913,45111
,,0x209,2198,42912,45110
,,0x187,2198,42909,45107
,,0x18E,2198,42913,45111
,,0x207,2198,42909,45107
,,0x20B,2198,42913,45111
,,0x20D,2198,42911,45109
,,0x287,2198,42909,45107
,,0x289,2198,42912,45110
,,0x28B,2198,42913,45111
,,0x28D,2198,42911,45109
,,0x307,2198,42909,45107
,,0x309,2198,42912,45110
,,0x30B,2198,42913,45111
,,0x30D,2198,42911,45109
,,0x387,2198,42909,45107
,,0x389,2198,42912,45110
,,0x38B,2198,42913,45111
,,0x38D,2198,42911,45109
,,0x407,2198,42909,45107
,,0x409,2198,42912,45110
,,0x40B,2198,42913,45111
,,0x40D,2198,42911,45109

,,1,63746,1244431
,,0x385,7646,37465,45111
,,0x18B,7646,37465,45111
,,0x188,7646,37465,45111
,,0x18D,7646,37463,45109
,,0x18A,7645,37466,45111
,,0x189,7645,37465,45110
,,0x18C,7645,37466,45111
,,0x209,7645,37465,45110
,,0x187,7644,37463,45107
,,0x18E,7644,37467,45111
,,0x207,7644,37463,45107
,,0x20B,7644,37467,45111
,,0x20D,7644,37465,45109
,,0x287,7644,37463,45107
,,0x289,7644,37466,45110
,,0x28B,7644,37467,45111
,,0x28D,7644,37465,45109
,,0x307,7644,37463,45107
,,0x309,7644,37466,45110
,,0x30B,7644,37467,45111
,,0x30D,7644,37465,45109
,,0x387,7644,37463,45107
,,0x389,7644,37466,45110
,,0x38B,7644,37467,45111
,,0x38D,7644,37465,45109
,,0x407,7644,37463,45107
,,0x409,7644,37466,45110
,,0x40B,7644,37467,45111
,,0x40D,7644,37465,45109

,,2,157942,1150235
,,0x385,17699,27412,45111
,,0x18B,17699,27412,45111
,,0x188,17699,27412,45111
,,0x18D,17699,27410,45109
,,0x18A,17698,27413,45111
,,0x189,17698,27412,45110
,,0x18C,17698,27413,45111
,,0x209,17698,27412,45110
,,0x187,17696,27411,45107
,,0x18E,17696,27415,45111
,,0x207,17696,27411,45107
,,0x20B,17696,27415,45111
,,0x20D,17696,27413,45109
,,0x287,17696,27411,45107
,,0x289,17696,27414,45110
,,0x28B,17696,27415,45111
,,0x28D,17696,27413,45109
,,0x307,17696,27411,45107
,,0x309,17696,27414,45110
,,0x30B,17696,27415,45111
,,0x30D,17696,27413,45109
,,0x387,17696,27411,45107
,,0x389,17696,27414,45110
,,0x38B,17696,27415,45111
,,0x38D,17696,27413,45109
,,0x407,17696,27411,45107
,,0x409,17696,27414,45110
,,0x40B,17696,27415,45111
,,0x40D,17696,27413,45109

,,3,291516,1016661
,,0x385,39092,6019,45111
,,0x18B,39092,6019,45111
,,0x188,39092,6019,45111
,,0x18D,39092,6017,45109
,,0x18A,39091,6020,45111
,,0x189,39091,6019,45110
,,0x18C,39091,6020,45111
,,0x209,39091,6019,45110
,,0x187,39089,6018,45107
,,0x18E,39089,6022,45111
,,0x207,39089,6018,45107
,,0x20B,39089,6022,45111
,,0x20D,39089,6020,45109
,,0x287,39089,6018,45107
,,0x289,39089,6021,45110
,,0x28B,39089,6022,45111
,,0x28D,39089,6020,45109
,,0x307,39089,6018,45107
,,0x309,39089,6021,45110
,,0x30B,39089,6022,45111
,,0x30D,39089,6020,45109
,,0x387,39089,6018,45107
,,0x389,39089,6021,45110
,,0x38B,39089,6022,45111
,,0x38D,39089,6020,45109
,,0x407,39089,6018,45107
,,0x409,39089,6021,45110
,,0x40B,39089,6022,45111
,,0x40D,39089,6020,45109

,,4,620397,687780
,,0x385,64360,4294948047,45111
,,0x18B,64360,4294948047,45111
,,0x188,64360,4294948047,45111
,,0x18D,64360,4294948045,45109
