Filter Size,Logged,Missed
1,51895,1292354
2,122888,1221361
3,224627,1119622
4,297623,1046626
5,300914,1043335
6,397833,946416
7,558586,785663
8,787651,556598
9,921503,422746
10,1203899,140350
11,1281245,63004
12,1297853,46396
13,1315810,28439
14,1333643,10606
15,1339364,4885
16,1338773,5476
17,1336931,7318
18,1336142,8107
19,1335824,8425
20,1335596,8653
21,1335426,8823
22,1334978,9271
23,1334455,9794
24,1333316,10933
25,1331130,13119
26,1327875,16374
27,1321761,22488
28,1316137,28112
29,1337313,6936
30,1343771,478
31,1344235,14
32,1344249,0
