Filter Size,Logged,Missed,
0x187,45099,8,45107
0x188,44409,702,45111
0x189,45069,41,45110
0x18A,44383,728,45111
0x18B,45069,42,45111
0x18C,44332,779,45111
0x18D,45079,30,45109
0x18E,44358,753,45111
0x207,45105,2,45107
0x209,45068,42,45110
0x20B,45102,9,45111
0x20D,45103,6,45109
0x287,45106,1,45107
0x289,45108,2,45110
0x28B,45090,21,45111
0x28D,45003,106,45109
0x307,45104,3,45107
0x309,45104,6,45110
0x30B,45097,14,45111
0x30D,45096,13,45109
0x385,44612,499,45111
0x387,45104,3,45107
0x389,45102,8,45110
0x38B,45109,2,45111
0x38D,45108,1,45109
0x407,45105,2,45107
0x409,45103,7,45110
0x40B,45109,2,45111
0x40D,45107,2,45109
0x707,9018,0,9018
0x709,9018,0,9018
0x70B,9018,0,9018
0x70D,9018,0,9018
,,,
16,1340415,3834,
