

,,Filter Size,Logged,Missed
,,0x187,45062,45,45107
,,0x188,43833,1278,45111
,,0x189,45067,43,45110
,,0x18A,44049,1062,45111
,,0x18B,45074,37,45111
,,0x18C,43688,1423,45111
,,0x18D,45084,25,45109
,,0x18E,43882,1229,45111
,,0x207,45091,16,45107
,,0x209,45096,14,45110
,,0x20B,45100,11,45111
,,0x20D,44914,195,45109
,,0x287,45054,53,45107
,,0x289,45029,81,45110
,,0x28B,45023,88,45111
,,0x28D,44935,174,45109
,,0x307,45091,16,45107
,,0x309,45087,23,45110
,,0x30B,45092,19,45111
,,0x30D,45087,22,45109
,,0x385,43475,1636,45111
,,0x387,45105,2,45107
,,0x389,45102,8,45110
,,0x38B,45107,4,45111
,,0x38D,45107,2,45109
,,0x407,45101,6,45107
,,0x409,45100,10,45110
,,0x40B,45107,4,45111
,,0x40D,45103,6,45109
,,0x707,9018,0,9018
,,0x709,9018,0,9018
,,0x70B,9018,0,9018
,,0x70D,9018,0,9018

,,16,1336717,7532
