

,,Filter Size,Logged,Missed
,,1,52671,1381800
,,2,124666,1309805
,,3,215386,1219085
,,4,315661,1118810
,,5,318262,1116209
,,6,410686,1023785
,,7,589813,844658
,,8,825060,609411
,,9,970389,464082
,,10,1249943,184528
,,11,1361401,73070
,,12,1382720,51751
,,13,1398807,35664
,,14,1417528,16943
,,15,1431302,3169
,,16,1432423,2048
,,17,1431386,3085
,,18,1429668,4803
,,19,1427557,6914
,,20,1426585,7886
,,21,1426033,8438
,,22,1425816,8655
,,23,1425623,8848
,,24,1425174,9297
,,25,1424663,9808
,,26,1423698,10773
,,27,1421656,12815
,,28,1418317,16154
,,29,1413330,21141
,,30,1407918,26553
,,31,1427100,7371
,,32,1434056,415
,,33,1434464,7
,,34,1434471,0
