,Filter Size,Logged,Missed,,,,,,,,,,,
,15,1343945,304,,,,,,,,,,,
1,0x385,45110,1,45111,,0x187,45064,43,45107,,0x18B,44325,786,45111
2,0x18B,45070,41,45111,,0x188,43572,1539,45111,,0x188,43483,1628,45111
3,0x188,45110,1,45111,,0x189,45069,41,45110,,0x18D,45000,109,45109
4,0x18D,45080,29,45109,,0x18A,43572,1539,45111,,0x18A,43483,1628,45111
5,0x18A,45110,1,45111,,0x18B,45073,38,45111,,0x189,45052,58,45110
6,0x189,45070,40,45110,,0x18C,43572,1539,45111,,0x18C,43483,1628,45111
7,0x18C,45110,1,45111,,0x18D,45079,30,45109,,0x209,45042,68,45110
8,0x209,45069,41,45110,,0x18E,43572,1539,45111,,0x187,45066,41,45107
9,0x187,45105,2,45107,,0x207,45065,42,45107,,0x18E,43483,1628,45111
10,0x18E,45110,1,45111,,0x209,45104,6,45110,,0x207,45066,41,45107
11,0x207,45106,1,45107,,0x20B,45108,3,45111,,0x20B,45104,7,45111
12,0x20B,45108,3,45111,,0x20D,45108,1,45109,,0x20D,45103,6,45109
13,0x20D,45109,0,45109,,0x287,45107,0,45107,,0x287,45106,1,45107
14,0x287,45107,0,45107,,0x289,45109,1,45110,,0x289,45109,1,45110
15,0x289,45109,1,45110,,0x28B,45109,2,45111,,0x28B,45041,70,45111
16,0x28B,45109,2,45111,,0x28D,45028,81,45109,,0x28D,44921,188,45109
17,0x28D,45020,89,45109,,0x307,45107,0,45107,,0x307,45106,1,45107
18,0x307,45107,0,45107,,0x309,45106,4,45110,,0x309,45100,10,45110
19,0x309,45106,4,45110,,0x30B,45101,10,45111,,0x30B,45096,15,45111
20,0x30B,45100,11,45111,,0x30D,45098,11,45109,,0x30D,45092,17,45109
21,0x30D,45097,12,45109,,0x385,43477,1634,45111,,,,,
22,0x387,45105,2,45107,,0x387,45105,2,45107,,,,,
23,0x389,45103,7,45110,,0x389,45103,7,45110,,,,,
24,0x38B,45109,2,45111,,0x38B,45110,1,45111,,,,,
25,0x38D,45108,1,45109,,0x38D,45108,1,45109,,,,,
26,0x407,45105,2,45107,,0x407,45102,5,45107,,,,,
27,0x409,45104,6,45110,,0x409,45103,7,45110,,,,,
28,0x40B,45110,1,45111,,0x40B,45110,1,45111,,,,,
29,0x40D,45107,2,45109,,0x40D,45107,2,45109,,,,,
30,0x709,9018,0,9018,,0x707,9018,0,9018,,,,,
31,0x70B,9018,0,9018,,0x709,9018,0,9018,,,,,
32,0x707,9018,0,9018,,0x70B,9018,0,9018,,,,,
33,0x70D,9018,0,9018,,0x70D,9018,0,9018,,,,,
