Filter Size,Logged,Missed,
0x187,44875,232,45107
0x188,44488,623,45111
0x189,44979,131,45110
0x18A,44596,515,45111
0x18B,44936,175,45111
0x18C,44295,816,45111
0x18D,44962,147,45109
0x18E,44016,1095,45111
0x207,44905,202,45107
0x209,44968,142,45110
0x20B,44871,240,45111
0x20D,44110,999,45109
0x287,44856,251,45107
0x289,44847,263,45110
0x28B,44745,366,45111
0x28D,44481,628,45109
0x307,44675,432,45107
0x309,44722,388,45110
0x30B,44919,192,45111
0x30D,44923,186,45109
0x385,44531,580,45111
0x387,44881,226,45107
0x389,44857,253,45110
0x38B,44921,190,45111
0x38D,44965,144,45109
0x407,44975,132,45107
0x409,44970,140,45110
0x40B,44961,150,45111
0x40D,44977,132,45109
0x707,9018,0,9018
0x709,9018,0,9018
0x70B,9018,0,9018
0x70D,9018,0,9018
,,,
16,1334279,9970,
