

,,Filter Size,Logged,Missed
,,0x187,3140,4,3144
,,0x188,3140,5,3145
,,0x189,3140,5,3145
,,0x18A,3140,4,3144
,,0x18B,3140,5,3145
,,0x18C,3140,4,3144
,,0x18D,3140,4,3144
,,0x18E,3140,4,3144
,,0x207,3140,4,3144
,,0x209,3140,4,3144
,,0x20B,3140,4,3144
,,0x20D,3140,4,3144
,,0x287,3140,4,3144
,,0x289,3140,4,3144
,,0x28B,3140,4,3144
,,0x28D,3140,4,3144
,,0x307,3140,4,3144
,,0x309,3139,5,3144
,,0x30B,3139,5,3144
,,0x30D,3139,5,3144
,,0x385,3139,6,3145
,,0x387,3139,5,3144
,,0x389,3139,5,3144
,,0x38B,3139,5,3144
,,0x38D,3139,5,3144
,,0x407,3139,5,3144
,,0x409,3139,5,3144
,,0x40B,3139,5,3144
,,0x40D,3139,5,3144
,,0x707,628,1,629
,,0x709,628,1,629
,,0x70B,628,1,629
,,0x70D,628,1,629

