

,,Filter Size,Logged,Missed
,,0x385,44883,228,45111
,,0x18B,45047,64,45111
,,0x188,44341,770,45111
,,0x18D,45054,55,45109
,,0x18A,44780,331,45111
,,0x189,45055,55,45110
,,0x18C,44307,804,45111
,,0x209,45059,51,45110
,,0x187,45057,50,45107
,,0x18E,44863,248,45111
,,0x207,45045,62,45107
,,0x20B,44826,285,45111
,,0x20D,44453,656,45109
,,0x287,44958,149,45107
,,0x289,44966,144,45110
,,0x28B,44942,169,45111
,,0x28D,44862,247,45109
,,0x307,45042,65,45107
,,0x309,45032,78,45110
,,0x30B,45048,63,45111
,,0x30D,45034,75,45109
,,0x387,45077,30,45107
,,0x389,45077,33,45110
,,0x38B,45084,27,45111
,,0x38D,45083,26,45109
,,0x407,45078,29,45107
,,0x409,45077,33,45110
,,0x40B,45083,28,45111
,,0x40D,45079,30,45109
,,0x709,9018,0,9018
,,0x70B,9018,0,9018
,,0x707,9018,0,9018
,,0x70D,9018,0,9018

