

,,Filter Size,Logged,Missed
,,0x385,1887,43224,45111
,,0x18B,1887,43224,45111
,,0x188,1887,43224,45111
,,0x18D,1887,43222,45109
,,0x18A,1887,43224,45111
,,0x189,1887,43223,45110
,,0x18C,1887,43224,45111
,,0x209,1887,43223,45110
,,0x187,1887,43220,45107
,,0x18E,1887,43224,45111
,,0x207,1887,43220,45107
,,0x20B,1887,43224,45111
,,0x20D,1887,43222,45109
,,0x287,1887,43220,45107
,,0x289,1887,43223,45110
,,0x28B,1887,43224,45111
,,0x28D,1887,43222,45109
,,0x307,1887,43220,45107
,,0x309,1887,43223,45110
,,0x30B,1887,43224,45111
,,0x30D,1887,43222,45109
,,0x387,1887,43220,45107
,,0x389,1887,43223,45110
,,0x38B,1887,43224,45111
,,0x38D,1887,43222,45109
,,0x407,1887,43220,45107
,,0x409,1887,43223,45110
,,0x40B,1887,43224,45111
,,0x40D,1887,43222,45109
,,0x709,1887,7131,9018
,,0x70B,1887,7131,9018
,,0x707,1887,7131,9018
,,0x70D,1886,7132,9018

,,0x385,8474,36637,45111
,,0x18B,8474,36637,45111
,,0x188,8474,36637,45111
,,0x18D,8474,36635,45109
,,0x18A,8473,36638,45111
,,0x189,8473,36637,45110
,,0x18C,8473,36638,45111
,,0x209,8473,36637,45110
,,0x187,8473,36634,45107
,,0x18E,8473,36638,45111
,,0x207,8473,36634,45107
,,0x20B,8473,36638,45111
,,0x20D,8473,36636,45109
,,0x287,8473,36634,45107
,,0x289,8473,36637,45110
,,0x28B,8473,36638,45111
,,0x28D,8473,36636,45109
,,0x307,8473,36634,45107
,,0x309,8473,36637,45110
,,0x30B,8473,36638,45111
,,0x30D,8473,36636,45109
,,0x387,8473,36634,45107
,,0x389,8473,36637,45110
,,0x38B,8473,36638,45111
,,0x38D,8473,36636,45109
,,0x407,8473,36634,45107
,,0x409,8473,36637,45110
,,0x40B,8473,36638,45111
,,0x40D,8473,36636,45109
,,0x709,8473,545,9018
,,0x70B,8473,545,9018
,,0x707,8473,545,9018
,,0x70D,8471,547,9018

,,0x385,17479,27632,45111
,,0x18B,17479,27632,45111
,,0x188,17479,27632,45111
,,0x18D,17479,27630,45109
,,0x18A,17478,27633,45111
,,0x189,17478,27632,45110
,,0x18C,17478,27633,45111
,,0x209,17478,27632,45110
,,0x187,17478,27629,45107
,,0x18E,17478,27633,45111
,,0x207,17478,27629,45107
,,0x20B,17478,27633,45111
,,0x20D,17478,27631,45109
,,0x287,17478,27629,45107
,,0x289,17478,27632,45110
,,0x28B,17478,27633,45111
,,0x28D,17478,27631,45109
,,0x307,17478,27629,45107
,,0x309,17478,27632,45110
,,0x30B,17478,27633,45111
,,0x30D,17478,27631,45109
,,0x387,17478,27629,45107
,,0x389,17478,27632,45110
,,0x38B,17478,27633,45111
,,0x38D,17478,27631,45109
,,0x407,17478,27629,45107
,,0x409,17478,27632,45110
,,0x40B,17478,27633,45111
,,0x40D,17478,27631,45109
,,0x709,17477,4294958837,9018
,,0x70B,17477,4294958837,9018
,,0x707,17475,4294958839,9018
,,0x70D,17386,4294958928,9018

,,0x385,26588,18523,45111
,,0x18B,26588,18523,45111
,,0x188,26588,18523,45111
,,0x18D,26588,18521,45109
,,0x18A,26587,18524,45111
,,0x189,26587,18523,45110
,,0x18C,26587,18524,45111
,,0x209,26587,18523,45110
,,0x187,26587,18520,45107
,,0x18E,26587,18524,45111
,,0x207,26587,18520,45107
,,0x20B,26587,18524,45111
,,0x20D,26587,18522,45109
,,0x287,26587,18520,45107
,,0x289,26587,18523,45110
,,0x28B,26587,18524,45111
,,0x28D,26587,18522,45109
,,0x307,26587,18520,45107
,,0x309,26587,18523,45110
,,0x30B,26587,18524,45111
,,0x30D,26587,18522,45109
,,0x387,26587,18520,45107
,,0x389,26587,18523,45110
,,0x38B,26587,18524,45111
,,0x38D,26587,18522,45109
,,0x407,26587,18520,45107
,,0x409,26587,18523,45110
,,0x40B,26587,18524,45111
,,0x40D,26587,18522,45109
,,0x709,26495,4294949819,9018
,,0x70B,26495,4294949819,9018
,,0x707,26422,4294949892,9018
,,0x70D,26377,4294949937,9018

,,0x385,39222,5889,45111
,,0x18B,39222,5889,45111
,,0x188,39222,5889,45111
,,0x18D,39222,5887,45109
,,0x18A,39221,5890,45111
,,0x189,39220,5890,45110
,,0x18C,39221,5890,45111
,,0x209,39221,5889,45110
,,0x187,39220,5887,45107
,,0x18E,39221,5890,45111
,,0x207,39220,5887,45107
