



,,CAN ID,Total,Offset
,,,(logs),(us)
,,0x18B,40011,0
,,0x385,36647,1
,,0x188,38738,2
,,0x18D,38653,3
,,0x18A,41887,4
,,0x189,41442,5
,,0x18C,37954,6
,,0x187,41178,7
,,0x18E,39273,8
,,0x209,41574,9
,,0x207,38858,10
,,0x20B,41078,11
,,0x20D,40332,12
,,0x287,40749,13
,,0x289,41172,14
,,0x28B,41575,15
,,0x28D,41564,16
,,0x307,39491,17
,,0x309,36911,18
,,0x30D,37569,19
,,0x387,39684,20
,,0x389,41572,21
,,0x38B,41846,22
,,0x38D,41464,23
,,0x407,39284,24
,,0x409,38438,25
,,0x40B,39377,26
,,0x709,8083,27
,,0x70B,7855,28
,,0x707,8051,29
,,0x40D,39898,30
,,0x70D,7959,31
,,0x30B,37032,32
