



,,CAN ID,Total,Offset
,,,(logs),(us)
,,0x18B,38847,0
,,0x385,33872,1
,,0x188,38390,2
,,0x18D,37317,3
,,0x18A,40577,4
,,0x189,40119,5
,,0x18C,37426,6
,,0x187,39986,7
,,0x18E,38145,8
,,0x209,40342,9
,,0x207,37880,10
,,0x289,40015,11
,,0x28B,40459,12
,,0x20B,40126,13
,,0x28D,40534,14
,,0x307,38579,15
,,0x309,36505,16
,,0x30B,36513,17
,,0x30D,36577,18
,,0x387,38597,19
,,0x389,40323,20
,,0x38B,40688,21
,,0x409,37617,22
,,0x40B,38214,23
,,0x40D,39077,24
,,0x709,7913,25
,,0x70B,7614,26
,,0x707,7885,27
,,0x20D,39707,28
,,0x287,39687,29
,,0x38D,39998,30
,,0x407,37984,31
,,0x70D,7837,32
