



,,CAN ID,Total,Times,Times in,Times on Target,Times before Target,Times after Target,Max. Jitter,Av. Period,Max. Period,Min. Period,Offset,Dif
,,,(logs),frozen for,sequence,(logs),(logs),(logs),(us),(us),(us),(us),(us),(us)
,,0x18B,45111,45111,20375,7420,12955,17981,81458,50377,100482,19024,274,274
,,0x188,45111,45111,2487,1934,553,12010,81378,50328,100472,19094,614,340
,,0x20D,45109,45109,30025,16611,13414,14153,92210,23998,100354,8144,3329,2715
,,0x287,45107,45107,31804,18304,13500,13293,92192,22265,100338,8146,3589,260
,,0x289,45110,45110,31833,18516,13317,13261,91873,21045,100017,8144,3847,258
,,0x28B,45111,45111,32033,18839,13194,13062,91881,20820,100009,8128,4105,258
,,0x28D,45109,45109,32016,18826,13190,13081,73451,20559,81590,8139,4363,258
,,0x307,45107,45107,32088,18952,13136,13008,73273,20327,81412,8139,4619,256
,,0x309,45110,45110,32051,18868,13183,13051,52103,20202,60240,8137,4875,256
,,0x30B,45111,45111,32006,18797,13209,13101,52105,20183,60242,8137,5131,256
,,0x30D,45109,45109,32018,18758,13260,13086,52007,20143,60141,8134,5387,256
,,0x387,45107,45107,31866,18662,13204,13062,92067,20887,100205,8138,5645,258
,,0x389,45110,45110,31955,18750,13205,13143,92065,20887,100223,8158,5903,258
,,0x38B,45111,45111,32062,18929,13133,13042,92069,20880,100223,8154,6169,266
,,0x38D,45109,45109,32279,19304,12975,12826,92072,20863,100228,8156,6437,268
,,0x407,45107,45107,32974,20735,12239,12130,91923,20841,100085,8162,6863,426
,,0x409,45110,45110,33029,20878,12151,12078,71987,20046,80155,8168,7117,254
,,0x40B,45111,45111,33043,20968,12075,12065,51956,20041,60126,8170,7368,251
,,0x40D,45109,45109,33106,21059,12047,12000,51965,20035,60136,8171,7616,248
,,0x709,9018,9018,1,0,1,9017,19855,99878,100499,80644,9720,2104
,,0x70B,9018,9018,1,0,1,9017,3267,99927,100495,97228,12728,3008
,,0x707,9018,9018,1,0,1,9017,2703,99901,100498,97795,12870,142
,,0x187,45107,45106,17600,8268,9332,16462,81726,41653,100485,18759,20644,7774
,,0x189,45110,45109,19065,8143,10922,17332,83770,36811,100495,16725,20918,274
,,0x18A,45111,45110,18378,7677,10701,18085,91752,36176,100498,8746,21192,274
,,0x18D,45109,45108,20445,7316,13129,18036,82085,45313,100498,18413,21494,302
,,0x18C,45111,45110,25282,9277,16005,17883,81817,47759,100496,18679,21760,266
,,0x207,45107,45106,26870,9837,17033,17258,86315,42095,100499,14184,22021,261
,,0x18E,45111,45110,26194,10532,15662,17275,82567,42897,100499,17932,22287,266
,,0x209,45110,45109,28346,13185,15161,15839,82573,41828,100499,17926,22549,262
,,0x20B,45111,45110,29115,14749,14366,15002,84280,26136,100474,16194,22799,250
,,0x70D,9018,9018,0,0,0,9018,16252,99953,100498,84246,27368,4569
,,0x385,45111,45104,2,1,1,2473,81275,54450,100490,19215,140248,112880
