CAN ID,Total,Times,Times in,Times on Target,Times before Target,Times after Target,Max. Jitter,Av. Period,Max. Period,Min. Period,Offset,Dif,,Percentage caught
,(logs),frozen for,sequence,(logs),(logs),(logs),(us),(us),(us),(us),(us),(us),,
0x385,74083,74083,59912,0,49615,10205,80463,24559,100201,19738,0,0,,66.97217985
0x18B,74083,74083,5697,0,1794,1470,80549,50648,100237,19688,252,252,,2.421608196
0x188,74083,74083,5152,0,1550,1279,80489,50673,100239,19750,496,244,,2.092247884
0x20D,74081,74081,61148,0,51351,9713,85453,24073,100334,14881,2891,2395,,69.31736883
0x287,74079,74079,66396,0,59937,6443,82999,22287,100402,17403,3129,238,,80.90956951
0x289,74082,74082,70182,2,65194,4985,82734,21107,100272,17538,3365,236,,88.00518345
0x28B,74083,74083,71090,0,66424,4664,82929,20836,100272,17343,3601,236,,89.66159578
0x28D,74081,74081,72076,0,67967,4110,66127,20555,81479,15352,3835,234,,91.74687167
0x307,74079,74079,72899,1,69293,3606,64076,20323,81191,17115,4069,234,,93.54067954
0x309,74082,74082,73353,195,63609,9550,42370,20197,60194,17824,4301,232,,86.1261845
0x30B,74083,74083,73393,226,61645,11523,44389,20186,61349,16960,4535,234,,83.51578635
0x30D,74081,74081,73549,41,55687,17822,45523,20143,61346,15823,4769,234,,75.22576639
0x387,74079,74079,70838,0,67861,2976,81551,20911,100220,18669,5005,236,,91.60625818
0x389,74082,74082,70830,0,67859,2971,81588,20915,100222,18634,5241,236,,91.59984882
0x38B,74083,74083,70829,1,67840,2988,82532,20915,100221,17689,5477,236,,91.5743153
0x38D,74081,74081,70891,0,67927,2963,83920,20896,100221,16301,5713,236,,91.69287672
0x407,74079,74079,70991,0,68085,2905,81672,20866,100111,18439,5939,226,,91.90863808
0x409,74082,74082,73913,132,51540,22242,61754,20044,80153,18399,6165,226,,69.74973678
0x40B,74083,74083,73904,147,51764,21994,42950,20046,60180,17230,6393,228,,70.0714064
0x40D,74081,74081,73932,146,50900,22887,43427,20039,60180,16753,6619,226,,68.90565732
0x709,14810,14810,13323,18,2201,10133,7053,99937,100495,93442,9587,2968,,14.98311951
0x70B,14810,14810,1231,1,182,896,2028,99942,100495,98467,12889,3302,,1.235651587
0x707,14810,14810,4078,3,427,3123,2008,99919,100390,98382,13295,406,,2.903443619
0x187,74079,74078,14909,0,8563,3676,80999,41385,100410,19411,20743,7448,,11.55928131
0x189,74082,74081,18405,0,9050,7140,82548,36246,100392,17844,20991,248,,12.21619287
0x18A,74083,74082,26401,0,13128,10334,81595,35850,100495,18900,21235,244,,17.72066466
0x18D,74081,74080,14637,0,6440,3992,81620,46259,100492,18872,21483,248,,8.693187187
0x18C,74083,74082,10215,0,3559,2539,81437,48544,100490,19053,21727,244,,4.804071109
0x207,74079,74078,23485,0,13490,6591,81654,42807,100495,18841,21960,233,,18.21028902
0x18E,74083,74082,21839,0,12056,6231,81656,43556,100497,18841,22204,244,,16.27363903
0x209,74082,74081,24150,0,14179,6707,81473,42427,100496,19023,22436,232,,19.13960206
0x20B,74083,74082,55633,0,42934,12497,82816,26234,100426,17610,22664,228,,57.95391655
0x70D,14810,14810,6461,8,1435,4507,2142,99955,100486,98344,26760,4096,,9.74341661
,2207605,2207596,1515742,921,1235486,,,,,,,,,56.00671316
