

,,Filter Size,Logged,Missed
,,1,59443,1167530
,,2,136351,1090622
,,3,252516,974457
,,4,400588,826385
,,5,665000,561973
,,6,897536,329437
,,7,1149859,77114
,,8,1176464,50509
,,9,1196718,30255
,,10,1217284,9689
,,11,1222805,4168
,,12,1222128,4845
,,13,1220775,6198
,,14,1220262,6711
,,15,1220123,6850
,,16,1220004,6969
,,17,1219890,7083
,,18,1219662,7311
,,19,1219150,7823
,,20,1218409,8564
,,21,1216912,10061
,,22,1210979,15994
,,23,1202998,23975
,,24,1213884,13089
,,25,1226177,796
,,26,1226932,41
,,27,1226973,0
