

,,Filter Size,Logged,Missed
,,1,109790,1234459
,,2,247820,1096429
,,3,297468,1046781
,,4,335951,1008298
,,5,550925,793324
,,6,840467,503782
,,7,1091551,252698
,,8,1225705,118544
,,9,1280902,63347
,,10,1299313,44936
,,11,1315244,29005
,,12,1329933,14316
,,13,1337760,6489
,,14,1341076,3173
,,15,1342138,2111
,,16,1336120,8129
,,17,1335895,8354
,,18,1335787,8462
,,19,1335673,8576
,,20,1335515,8734
,,21,1334648,9601
,,22,1330552,13697
,,23,1327397,16852
,,24,1326454,17795
,,25,1334045,10204
,,26,1332477,11772
,,27,1330747,13502
,,28,1330342,13907
,,29,1334991,9258
,,30,1341054,3195
,,31,1343376,873
,,32,1344249,0
,,33,1344249,0
