

,,Filter Size,Logged,Missed
,,0x385,43715,1396,45111
,,0x18B,43772,1339,45111
,,0x188,43638,1473,45111
,,0x18D,43776,1333,45109
,,0x18A,43628,1483,45111
,,0x189,43778,1332,45110
,,0x18C,43640,1471,45111
,,0x209,43776,1334,45110
,,0x187,43709,1398,45107
,,0x18E,43718,1393,45111
,,0x207,43645,1462,45107
,,0x20B,42808,2303,45111
,,0x20D,42719,2390,45109
,,0x287,43593,1514,45107
,,0x289,43605,1505,45110
,,0x28B,43595,1516,45111
,,0x28D,43553,1556,45109
,,0x307,43651,1456,45107
,,0x309,43594,1516,45110
,,0x30B,43481,1630,45111
,,0x30D,43463,1646,45109
,,0x387,43698,1409,45107
,,0x389,43742,1368,45110
,,0x38B,43728,1383,45111
,,0x38D,43696,1413,45109
,,0x407,43664,1443,45107
,,0x409,43716,1394,45110
,,0x40B,43724,1387,45111
,,0x40D,43721,1388,45109
,,0x709,9018,0,9018
,,0x70B,9018,0,9018
,,0x707,9018,0,9018
,,0x70D,9018,0,9018

