

,,Filter Size,Logged,Missed
,,0x385,45107,4,45111
,,0x18B,45067,44,45111
,,0x188,45107,4,45111
,,0x18D,45077,32,45109
,,0x18A,45107,4,45111
,,0x189,45075,35,45110
,,0x18C,45107,4,45111
,,0x209,45069,41,45110
,,0x187,45101,6,45107
,,0x18E,45107,4,45111
,,0x207,45101,6,45107
,,0x20B,45098,13,45111
,,0x20D,44817,292,45109
,,0x287,45100,7,45107
,,0x289,45056,54,45110
,,0x28B,45016,95,45111
,,0x28D,44936,173,45109
,,0x307,45091,16,45107
,,0x309,45090,20,45110
,,0x30B,45087,24,45111
,,0x30D,45084,25,45109
,,0x387,45103,4,45107
,,0x389,45101,9,45110
,,0x38B,45106,5,45111
,,0x38D,45106,3,45109
,,0x407,45101,6,45107
,,0x409,45100,10,45110
,,0x40B,45106,5,45111
,,0x40D,45106,3,45109
,,0x709,9018,0,9018
,,0x70B,9018,0,9018
,,0x707,9018,0,9018
,,0x70D,9018,0,9018

