



,,CAN ID,Total,Times,Times in,Times on Target,Times before Target,Times after Target,Max. Jitter,Av. Period,Max. Period,Min. Period,Offset,Dif
,,,(logs),frozen for,sequence,(logs),(logs),(logs),(us),(us),(us),(us),(us),(us)
,,0x20D,45109,45099,45095,0,45095,13,92210,23998,100354,8144,3329,3329
,,0x287,45107,45104,44863,28,44835,243,92192,22265,100338,8146,3589,260
,,0x289,45110,45107,43467,110,43357,1639,91873,21045,100017,8144,3847,258
,,0x28B,45111,45108,43295,143,43152,1815,91881,20820,100009,8128,4105,258
,,0x28D,45109,45106,42838,403,42435,2270,73451,20559,81590,8139,4363,258
,,0x307,45107,45104,41716,1469,40247,3390,73273,20327,81412,8139,4619,256
,,0x309,45110,45107,39684,3193,36491,5420,52103,20202,60240,8137,4875,256
,,0x30B,45111,45108,39175,3279,35896,5935,52105,20183,60242,8137,5131,256
,,0x30D,45109,45106,37838,3430,34408,7270,52007,20143,60141,8134,5387,256
,,0x387,45107,45099,43565,146,43419,1541,92067,20887,100205,8138,5645,258
,,0x389,45110,45102,44571,430,44141,533,92065,20887,100223,8158,5903,258
,,0x38B,45111,45103,44838,74,44764,272,92069,20880,100223,8154,6169,266
,,0x38D,45109,45101,44898,48,44850,210,92072,20863,100228,8156,6437,268
,,0x407,45107,45099,44906,47,44859,200,91923,20841,100085,8162,6863,426
,,0x409,45110,45107,35572,14953,20619,9535,71987,20046,80155,8168,7117,254
,,0x40B,45111,45108,35424,16168,19256,9685,51956,20041,60126,8170,7368,251
,,0x40D,45109,45106,35227,17445,17782,9881,51965,20035,60136,8171,7616,248
,,0x709,9018,9015,1433,304,1129,6847,19855,99878,100499,80644,9720,2104
,,0x70B,9018,9010,2373,1030,1343,5923,3267,99927,100495,97228,12728,3008
,,0x707,9018,9010,1687,449,1238,6494,2703,99901,100498,97795,12870,142
,,0x189,45110,45019,45057,0,45057,2,83770,36811,100495,16725,20918,8048
,,0x18D,45109,45080,41702,0,41702,1,82085,45313,100498,18413,21494,576
,,0x18C,45111,45082,43073,0,43073,0,81817,47759,100496,18679,21760,266
,,0x207,45107,45084,45100,0,45100,1,86315,42095,100499,14184,22021,261
,,0x18E,45111,45088,43469,0,43469,1,82567,42897,100499,17932,22287,266
,,0x209,45110,45087,44059,0,44059,1,82573,41828,100499,17926,22549,262
,,0x20B,45111,45093,45078,1,45077,7,84280,26136,100474,16194,22799,250
,,0x70D,9018,9015,5198,3798,1400,3123,16252,99953,100498,84246,27368,4569
,,0x188,45111,45021,43511,0,43511,1,84036,33163,100494,16458,60235,32867
,,0x18B,45111,45018,44201,0,44201,1,82243,42173,100499,18256,60585,350
,,0x18A,45111,44678,43053,0,43053,1,81683,45023,100498,18815,60849,264
,,0x187,45107,44866,39847,0,39847,0,81584,48658,100497,18913,61119,270
,,0x385,45111,30819,43264,0,43264,0,81275,54450,100490,19215,140248,79129
