



| CAN ID |  Total | Times      | Times in | Max. Jitter | Av. Period | Max. Period | Min. Period |  Offset [diff] |
|        | (logs) | frozen for | sequence |        (us) |       (us) |        (us) |        (us) |           (us) |
|========|========|============|==========|=============|============|=============|=============|================|
|  0x385 |    282 |        282 |      225 |         915 |      24120 |       20685 |       19770 |     0 [+    0] | 3
|  0x189 |    282 |        282 |      172 |        3206 |      31023 |       22609 |       19403 |   515 [+  515] | 4
|  0x18A |    282 |        282 |      164 |        2796 |      30183 |       22199 |       19403 |   755 [+  240] | 3
|  0x18D |    282 |        282 |      140 |        4178 |      35429 |       23425 |       19247 |  1977 [+ 1222] | 4
|  0x18E |    282 |        282 |      169 |        4705 |      30761 |       23775 |       19070 |  2217 [+  240] | 4
|  0x207 |    282 |        282 |      134 |        3107 |      34504 |       22486 |       19379 |  2449 [+  232] | 4
|  0x20D |    282 |        282 |      221 |        7294 |      24866 |       25836 |       18542 |  2911 [+  462] | 4
|  0x287 |    282 |        282 |      245 |        7967 |      22660 |       25733 |       17766 |  3147 [+  236] | 2
|  0x289 |    282 |        282 |      259 |        5204 |      21531 |       23477 |       18273 |  3383 [+  236] | 1
|  0x28B |    282 |        282 |      269 |        4797 |      20736 |       23074 |       18277 |  3619 [+  236] | 1
|  0x28D |    282 |        282 |      270 |        4257 |      20660 |       22804 |       18547 |  3853 [+  234] | 1
|  0x307 |    282 |        282 |      272 |        5275 |      20509 |       23312 |       18037 |  4083 [+  230] | 1
|  0x309 |    282 |        282 |      273 |        5267 |      20435 |       23308 |       18041 |  4315 [+  232] | 1
|  0x30B |    282 |        282 |      271 |        5267 |      20585 |       23308 |       18041 |  4545 [+  230] | 1
|  0x30D |    282 |        282 |      271 |        4255 |      20585 |       22805 |       18550 |  4775 [+  230] | 1
|  0x387 |    282 |        282 |      254 |        3893 |      21781 |       22868 |       18975 |  5011 [+  236] | 3
|  0x389 |    282 |        282 |      256 |        3891 |      21614 |       22867 |       18976 |  5245 [+  234] | 3
|  0x38B |    282 |        282 |      254 |        1421 |      21781 |       21015 |       19594 |  5485 [+  240] | 3
|  0x38D |    282 |        282 |      255 |        1231 |      21781 |       20825 |       19594 |  5721 [+  236] | 2
|  0x407 |    282 |        282 |      259 |        3774 |      21449 |       22514 |       18740 |  5949 [+  228] | 2
|  0x409 |    282 |        282 |      280 |        2336 |      19928 |       21076 |       18740 |  6179 [+  230] | 1
|  0x40B |    282 |        282 |      278 |         910 |      20070 |       20504 |       19594 |  6406 [+  227] | 1
|  0x40D |    282 |        282 |      278 |         910 |      20070 |       20504 |       19594 |  6634 [+  228] | 1
|  0x707 |     57 |         57 |       55 |        1302 |      97947 |      100170 |       98868 | 13761 [+ 7127] | 1
|  0x18B |    282 |        275 |       42 |         460 |      42501 |       20367 |       19907 | 20243 [+ 6482] | 4
|  0x188 |    282 |        275 |       42 |         470 |      42501 |       20375 |       19905 | 20489 [+  246] | 4
|  0x187 |    282 |        264 |       75 |        1369 |      40861 |       21139 |       19770 | 21226 [+  737] | 4
|  0x209 |    282 |        278 |      113 |        8772 |      35430 |       27062 |       18290 | 22418 [+ 1192] | 4
|  0x18C |    282 |        269 |       25 |        4431 |      44637 |       23545 |       19114 | 41935 [+19517] | 4
|  0x20B |    282 |        280 |        7 |       19850 |      29934 |       39815 |       19965 | 42637 [+  702] | 1
|  0x709 |     56 |         56 |       54 |         513 |      98186 |      100302 |       99789 | 46699 [+ 4062] | 1
|  0x70D |     56 |         56 |       54 |        1136 |      97893 |      100079 |       98943 | 72848 [+26149] | 1
|  0x70B |     56 |         56 |       47 |          76 |      97616 |      100012 |       99936 | 78928 [+ 6080] | 1

Total logging time: 0 min, 5.626353 sec
